tanggal,jam,srcip,jumlah_koneksi,jumlah_tujuan_unik,jumlah_port_unik,tcp,udp,total_data,average_datasize,dns,web,app,other,dns_ratio,web_ratio,app_ratio,other_ratio,destination_diversity,anomaly_score,is_anomaly
2026-07-20,09:00,192.168.2.144,129,42,5,44,85,55844,432.9,38,87,4,0,0.2946,0.6744,0.031,0.0,0.3256,0.39611370499771487,0
2026-07-20,09:00,192.168.2.158,31,17,3,14,17,16772,541.03,0,25,6,0,0.0,0.8065,0.1935,0.0,0.5484,0.3907094933804686,0
2026-07-20,09:00,192.168.2.162,373,112,9,301,72,95231,255.31,0,353,17,3,0.0,0.9464,0.0456,0.008,0.3003,0.5128327996450861,0
2026-07-20,09:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333,0.36432273272230004,0
2026-07-20,09:00,192.168.2.191,150,36,3,49,101,71014,473.43,16,134,0,0,0.1067,0.8933,0.0,0.0,0.24,0.3904864457804895,0
2026-07-20,09:00,192.168.2.195,1,1,1,0,1,1278,1278.0,0,1,0,0,0.0,1.0,0.0,0.0,1.0,0.4663926446720365,0
2026-07-20,10:00,192.168.2.101,198,18,2,26,172,34020,171.82,132,66,0,0,0.6667,0.3333,0.0,0.0,0.0909,0.5039634328119182,0
2026-07-20,10:00,192.168.2.107,1032,111,5,720,312,369300,357.85,4,1010,18,0,0.0039,0.9787,0.0174,0.0,0.1076,0.6178048496283961,1
2026-07-20,10:00,192.168.2.135,5,2,2,5,0,741,148.2,3,2,0,0,0.6,0.4,0.0,0.0,0.4,0.4595679094906798,0
2026-07-20,10:00,192.168.2.139,236,67,7,94,142,64361,272.72,65,162,9,0,0.2754,0.6864,0.0381,0.0,0.2839,0.42627721276000186,0
2026-07-20,10:00,192.168.2.144,106,39,5,36,70,37914,357.68,27,73,6,0,0.2547,0.6887,0.0566,0.0,0.3679,0.3871029417824959,0
2026-07-20,10:00,192.168.2.150,33,10,4,24,9,3673,111.3,6,18,9,0,0.1818,0.5455,0.2727,0.0,0.303,0.40824195720205875,0
2026-07-20,10:00,192.168.2.158,3,3,1,1,2,2566,855.33,0,3,0,0,0.0,1.0,0.0,0.0,1.0,0.4235916071383757,0
2026-07-20,10:00,192.168.2.162,194,77,5,135,59,71202,367.02,0,182,11,1,0.0,0.9381,0.0567,0.0052,0.3969,0.421332283397059,0
2026-07-20,10:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5,0.36677286372248463,0
2026-07-20,10:00,192.168.2.180,1,1,1,0,1,140,140.0,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0.5484713577252616,0
2026-07-20,10:00,192.168.2.191,282,45,3,42,240,158509,562.09,28,253,1,0,0.0993,0.8972,0.0035,0.0,0.1596,0.4427328709340676,0
2026-07-20,10:00,192.168.2.195,4,3,1,1,3,3794,948.5,0,4,0,0,0.0,1.0,0.0,0.0,0.75,0.4063506530402301,0
2026-07-20,11:00,192.168.2.101,273,33,5,43,230,40545,148.52,150,120,2,1,0.5495,0.4396,0.0073,0.0037,0.1209,0.47359366666967595,0
2026-07-20,11:00,192.168.2.107,1164,123,6,763,401,396149,340.33,6,1139,19,0,0.0052,0.9785,0.0163,0.0,0.1057,0.6492255535761721,1
2026-07-20,11:00,192.168.2.113,99,23,4,48,51,18689,188.78,13,59,27,0,0.1313,0.596,0.2727,0.0,0.2323,0.4042746179544647,0
2026-07-20,11:00,192.168.2.139,281,45,5,98,183,74000,263.35,99,174,8,0,0.3523,0.6192,0.0285,0.0,0.1601,0.4268330848319655,0
2026-07-20,11:00,192.168.2.144,58,19,4,26,32,21114,364.03,14,39,5,0,0.2414,0.6724,0.0862,0.0,0.3276,0.38203688071490427,0
2026-07-20,11:00,192.168.2.158,16,13,2,9,7,9386,586.62,0,15,1,0,0.0,0.9375,0.0625,0.0,0.8125,0.4026283180266679,0
2026-07-20,11:00,192.168.2.162,270,107,13,167,103,84668,313.59,0,243,13,14,0.0,0.9,0.0481,0.0519,0.3963,0.5200773457302582,0
2026-07-20,11:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5,0.36677286372248463,0
2026-07-20,11:00,192.168.2.191,174,51,7,62,112,92007,528.78,19,148,7,0,0.1092,0.8506,0.0402,0.0,0.2931,0.4006032242851839,0
2026-07-20,11:00,192.168.2.195,1,1,1,0,1,1278,1278.0,0,1,0,0,0.0,1.0,0.0,0.0,1.0,0.4663926446720365,0
2026-07-20,12:00,192.168.2.101,28,8,2,6,22,1985,70.89,17,11,0,0,0.6071,0.3929,0.0,0.0,0.2857,0.46283974810330003,0
2026-07-20,12:00,192.168.2.113,44,12,3,39,5,4874,110.77,5,22,17,0,0.1136,0.5,0.3864,0.0,0.2727,0.4190193865559079,0
2026-07-20,12:00,192.168.2.139,386,69,6,137,249,88961,230.47,143,230,11,2,0.3705,0.5959,0.0285,0.0052,0.1788,0.46062578128959375,0
2026-07-20,12:00,192.168.2.154,137,28,7,25,112,79554,580.69,15,38,84,0,0.1095,0.2774,0.6131,0.0,0.2044,0.4999258221619872,0
2026-07-20,12:00,192.168.2.158,8,6,2,3,5,6420,802.5,0,7,1,0,0.0,0.875,0.125,0.0,0.75,0.4161959951259785,0
2026-07-20,12:00,192.168.2.163,45,7,4,5,40,11733,260.73,24,20,1,0,0.5333,0.4444,0.0222,0.0,0.1556,0.4363357688541421,0
2026-07-20,12:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333,0.36432273272230004,0
2026-07-20,12:00,192.168.2.180,2,1,1,0,2,311,155.5,0,0,2,0,0.0,0.0,1.0,0.0,0.5,0.5134859927377257,0
